District Code|Port Code|Name
|2601|DOUGLAS, AZ
|2602|LUKEVILLE, AZ
|2603|NACO, AZ
|2604|NOGALES, AZ
|2605|PHOENIX, AZ
|2606|SASABE, AZ
|2608|SAN LUIS, AZ
|2609|TUCSON, AZ
27||LOS ANGELES, CA
|2704|LOS ANGELES, CA
|2709|LONG BEACH, CA
|2712|VENTURA, CA
|2713|PORT HUENEME, CA
|2715|CAPITAN, CA
|2719|MORRO BAY, CA
|2721|ONTARIO INTL AIRPORT, CA
|2722|LAS VEGAS, NV
|2770|DHL, LOS ANGELES, CA
|2775|TNT EXPRESS, LAX, CA
|2776|IBC PACIFIC
|2786|MEADOWS FIELD AIRPORT, CA
|2791|LOS ANGELES, CA
|2795|UPS-ONTARIO, CA
28||SAN FRANCISCO, CA
|2801|SAN FRANCISCO INTL ARPT, CA
|2802|EUREKA, CA
|2803|FRESNO, CA
|2805|MONTEREY, CA
|2809|SAN FRANCISCO, CA
|2810|STOCKTON, CA
|2811|OAKLAND, CA
|2812|RICHMOND,CA
|2815|CROCKETT,CA
|2820|MARTINEZ,CA
|2821|REDWOOD CITY,CA
|2827|SELBY,CA
|2828|SAN JUAQUIN RIVER,CA
|2829|SAN PABLO BAY,CA
|2830|CARQUINEZ STRAIT,CA
|2833|RENO, NV
|2834|SAN JOSE INTL AIRPORT, CA
|2835|SACRAMENTO INT'L AIRPORT, CA
|2871|AIRCARGO HANDLING SERVIC
|2895|FEDEX, OAKLAND, CA
29||COLUMBIA-SNAKE, OR
|2901|ASTORIA, OR
|2902|NEWPORT, OR
|2903|COOS BAY, OR
|2904|PORTLAND, OR
|2905|LONGVIEW, WA
|2907|BOISE, ID
|2908|VANCOUVER, WA
|2909|KALAMA, WA
|2910|PORTLAND INTL AIRPORT, OR
30||SEATTLE, WA
|3001|SEATTLE, WA
|3002|TACOMA, WA
|3003|ABERDEEN, WA
|3004|BLAINE, WA
|3005|BELLINGHAM, WA
|3006|EVERETT, WA
|3007|PORT ANGELES, WA
|3008|PORT TOWNSEND, WA
|3009|SUMAS, WA
|3010|ANACORTES, WA
|3011|NIGHTHAWK, WA
|3012|DANVILLE, WA
|3013|FERRY, WA
|3014|FRIDAY HARBOR, WA
|3015|BOUNDARY, WA
|3016|LAURIER, WA
|3017|POINT ROBERTS, WA
|3018|KENMORE AIR HARBOR, WA
|3019|OROVILLE, WA
|3020|FRONTIER, WA
|3022|SPOKANE, WA
|3023|LYNDEN, WA
|3025|METALINE FALLS
|3026|OLYMPIA, WA
|3029|SEATTLE-TACOMA INTL ARPT
|3071|UPS, SEATTLE, WA
|3072|AVION BROKERS @ SEATAC
|3073|DHL WORLDWIDE EXPRESS
|3074|AIRBORNE EXPRESS @SEATAC
|3082|GRANT COUNTY AIRPORT
|3095|UPS COURIER HUB, SEATTLE, WA
31||ANCHORAGE, AK
|3101|JUNEAU, AK
|3102|KETCHIKAN, AK
|3103|SKAGWAY, AK
|3104|ALCAN, AK
|3105|WRANGELL, AK
|3106|DALTON CACHE, AK
|3111|FAIRBANKS, AK
|3115|SITKA, AK
|3126|ANCHORAGE, AK
|3195|FEDEX, ANCHORAGE, AK
|3196|UPS COURIER HUB, ANCHORAGE, AK
32||HONOLULU, HI
|3201|HONOLULU, HI
|3202|HILO, HI
|3203|KAHULUI, HI
|3204|NAWILIWILI-PORT ALLEN,HI
|3205|HONOLULU INTL AIRPRT, HI
|3206|KONA, HI
|3279|FEDEX CORP HONOLULU, HI
33||GREAT FALLS, MT
|3301|RAYMOND, MT
|3302|EASTPORT, ID
|3303|SALT LAKE CITY, UT
|3304|GREAT FALLS, MT
|3305|BUTTE, MT
|3306|TURNER, MT
|3307|DENVER, CO
|3308|PORTHILL, ID
|3309|SCOBY, MT
|3310|SWEETGRASS, MT
|3316|PIEGAN, MT
|3317|OPHEIM, MT
|3318|ROOSVILLE, MT
|3319|MORGAN, MT
|3321|WHITLASH, MT
|3322|DEL BONITA, MT
|3323|WILDHORSE, MT
|3324|KALISPELL AIRPORT
|3325|WILLOW CREEK, HAVRE, MT
|3384|ARAPAHOE COUNTY PUBLIC AIRPORT, CO
|3385|EAGLE COUNTY REGIONAL AIRPORT
|3386|BOZEMAN YELLOWSTONE USER FEE AIRPORT, BELGRADE, MT
34||PEMBINA, ND
|3401|PEMBINA, ND
|3403|PORTAL, ND
|3404|NECHE, ND
|3405|ST JOHN, ND
|3406|NORTHGATE, ND
|3407|WALHALLA, ND
|3408|HANNAH, ND
|3409|SARLES, ND
|3410|AMBROSE, ND
|3411|FARGO,ND
|3413|ANTLER, ND
|3414|SHERWOOD, ND
|3415|HANSBORO, ND
|3416|MAIDA, ND
|3417|FORTUNA, ND
|3419|WESTHOPE, ND
|3420|NOONAN, ND
|3421|CARBURY, ND
|3422|DUNSEITH, ND
|3423|WARROAD, MN
|3424|BAUDETTE, MN
|3425|PINECREEK, MN
|3426|ROSEAU, MN
|3427|GRAND FORKS, ND
|3430|LANCASTER, MN
|3433|WILLISTON AIRPORT, ND
|3434|MINOT AIRPORT, ND
35||MINNEAPOLIS, MN
|3501|MINNEAPOLIS-ST. PAUL, MN
|3502|SIOUX FALLS, S.D.
|3510|DULUTH, MN-SUPERIOR, WI
|3511|ASHLAND, WI
|3512|OMAHA, NE
|3513|DES MOINES, IA
|3581|ROCHESTER USER FEE AIRP, ROCHESTER, MN
36||DULUTH, MN
|3604|INTERNATIONAL FALLS, MN
|3613|GRAND PORTAGE, MN
37||MILWAUKEE, WI
|3701|MILWAUKEE, WI
|3702|MARINETTE, WI
|3703|GREEN BAY, WI
|3706|MANITOWOC, WI
|3708|RACINE, WI
38||DETROIT, MI
|3801|DETROIT, MI
|3802|PORT HURON, MI
|3803|SAULT STE. MARIE, MI
|3804|SAGINAW/BAY CITY, MI
|3805|BATTLE CREEK, MI
|3806|GRAND RAPIDS, MI
|3807|DETROIT METRO AIRPORT, DETROIT, MI
|3808|ESCANABA, MI
|3809|MARQUETTE, MI
|3814|ALGONAC, MI
|3815|MUSKEGON, MI
|3816|GRAND HAVEN, MI
|3818|ROGERS CITY, MI
|3819|DETOUR, MI
|3842|PRESQUE ISLE, MI
|3843|ALPENA, MI
|3881|OAKLAND/PONTIAC AIRPORT
|3882|WILLOW RUN AIRPORT
